Data;Eur;GBP;USD;CAD;AUD;SGD;CHF;JPY;KRW;BRL;RUB
01/02/1999;1,00;0,70;1,13;1,69;1,74;1,91;1,60;129,35;1329,97;2,14;26,10
02/02/1999;1,00;0,69;1,12;1,68;1,75;1,90;1,60;128,92;1322,20;2,15;26,00
03/02/1999;1,00;0,69;1,12;1,68;1,74;1,90;1,60;129,31;1320,91;2,13;26,04
04/02/1999;1,00;0,69;1,12;1,68;1,75;1,90;1,60;131,82;1313,13;55,42;25,85
05/02/1999;1,00;0,69;1,13;1,69;1,78;1,91;1,60;133,48;1323,11;2,14;26,08
06/02/1999;1,00;0,69;1,12;1,68;1,77;1,91;1,60;134,40;1327,45;2,15;25,93
07/02/1999;1,00;0,68;1,12;1,66;1,75;1,91;1,60;133,97;1345,43;2,14;25,82
08/02/1999;1,00;0,68;1,10;1,64;1,72;1,88;1,60;133,61;1337,48;2,11;25,24
09/02/1999;1,00;0,68;1,10;1,64;1,71;1,89;1,60;133,14;1326,17;2,18;25,11
10/02/1999;1,00;0,69;1,10;1,66;1,75;1,90;1,59;133,86;1343,45;2,22;25,41
11/02/1999;1,00;0,69;1,10;1,65;1,76;1,91;1,59;132,87;1350,69;2,23;25,41
12/02/1999;1,00;0,69;1,10;1,67;1,78;1,90;1,59;131,33;1348,55;2,26;25,48
13/02/1999;1,00;0,68;1,10;1,66;1,78;1,89;1,59;131,13;1340,17;2,19;25,39
14/02/1999;1,00;0,68;1,09;1,66;1,75;1,89;1,59;131,37;1333,01;2,29;25,27
15/02/1999;1,00;0,67;1,09;1,66;1,75;1,89;1,59;132,18;1339,26;2,34;25,37
16/02/1999;1,00;0,68;1,09;1,66;1,75;1,89;1,59;133,92;1346,04;2,29;25,43
17/02/1999;1,00;0,67;1,08;1,65;1,73;1,87;1,59;133,19;1345,31;2,17;25,33
18/02/1999;1,00;0,68;1,09;1,65;1,73;1,88;1,59;132,77;1349,46;2,13;25,52
19/02/1999;1,00;0,68;1,09;1,64;1,71;1,88;1,59;132,45;1342,52;2,07;25,40
20/02/1999;1,00;0,67;1,10;1,66;1,72;1,90;1,60;131,74;1350,15;2,04;25,56
21/02/1999;1,00;0,67;1,09;1,66;1,71;1,89;1,60;131,00;1339,97;2,03;25,48
22/02/1999;1,00;0,67;1,09;1,67;1,72;1,89;1,60;130,80;1348,53;2,08;25,69
23/02/1999;1,00;0,67;1,09;1,67;1,73;1,88;1,60;128,85;1347,46;2,09;25,79
24/02/1999;1,00;0,67;1,09;1,67;1,74;1,88;1,60;128,65;1335,97;2,02;25,56
25/02/1999;1,00;0,67;1,10;1,67;1,75;1,89;1,60;130,18;1345,41;2,05;25,88
26/02/1999;1,00;0,68;1,10;1,67;1,75;1,90;1,60;129,78;1348,73;2,05;26,47
27/02/1999;1,00;0,67;1,09;1,65;1,73;1,88;1,60;127,99;1326,42;2,01;26,36
28/02/1999;1,00;0,67;1,09;1,64;1,72;1,88;1,60;128,00;1328,46;2,03;26,44
01/03/1999;1,00;0,67;1,09;1,64;1,70;1,89;1,59;128,94;1334,85;2,02;26,80
02/03/1999;1,00;0,67;1,09;1,65;1,71;1,89;1,59;128,60;1336,78;2,02;28,72
03/03/1999;1,00;0,67;1,09;1,65;1,71;1,88;1,59;128,65;1332,39;1,97;29,96
04/03/1999;1,00;0,67;1,08;1,63;1,70;1,87;1,60;128,93;1321,26;1,93;28,77
05/03/1999;1,00;0,66;1,07;1,62;1,69;1,85;1,59;128,78;1309,82;1,90;26,94
06/03/1999;1,00;0,66;1,07;1,62;1,70;1,86;1,60;128,86;1312,52;1,89;26,62
07/03/1999;1,00;0,67;1,07;1,62;1,71;1,85;1,60;127,81;1317,86;1,88;26,88
08/03/1999;1,00;0,67;1,08;1,62;1,69;1,87;1,60;128,72;1321,62;1,85;28,12
09/03/1999;1,00;0,67;1,08;1,62;1,70;1,87;1,60;129,85;1319,65;23,22;28,81
10/03/1999;1,00;0,67;1,08;1,61;1,70;1,86;1,60;130,55;1318,80;1,85;27,98
11/03/1999;1,00;0,68;1,07;1,61;1,71;1,86;1,60;129,99;1312,91;1,87;27,62
12/03/1999;1,00;0,68;1,08;1,62;1,72;1,88;1,60;131,27;1321,59;1,88;27,81
13/03/1999;1,00;0,67;1,08;1,62;1,73;1,87;1,60;130,45;1323,17;1,88;28,27
14/03/1999;1,00;0,67;1,08;1,62;1,72;1,87;1,60;130,75;1317,96;1,85;28,20
15/03/1999;1,00;0,67;1,09;1,63;1,71;1,87;1,60;130,27;1329,35;1,86;28,21
16/03/1999;1,00;0,67;1,08;1,60;1,69;1,85;1,60;129,66;1315,05;1,82;27,90
17/03/1999;1,00;0,67;1,08;1,61;1,69;1,83;1,61;128,55;1311,08;1,80;27,90
18/03/1999;1,00;0,67;1,08;1,61;1,70;1,82;1,60;128,01;1310,26;1,81;27,61
19/03/1999;1,00;0,66;1,07;1,59;1,65;1,82;1,60;126,16;1297,96;1,78;27,35
20/03/1999;1,00;0,66;1,06;1,58;1,63;1,81;1,60;125,67;1284,18;1,78;26,76
21/03/1999;1,00;0,66;1,06;1,58;1,64;1,81;1,60;125,48;1284,18;1,80;26,76
22/03/1999;1,00;0,66;1,06;1,58;1,63;1,81;1,60;126,26;1257,83;1,83;26,41
23/03/1999;1,00;0,66;1,06;1,57;1,64;1,81;1,60;126,95;1262,67;1,83;26,41
24/03/1999;1,00;0,66;1,06;1,57;1,63;1,82;1,60;127,25;1265,27;1,81;26,41
25/03/1999;1,00;0,66;1,06;1,57;1,63;1,80;1,60;126,22;1257,41;1,80;26,04
26/03/1999;1,00;0,66;1,06;1,57;1,64;1,81;1,60;127,34;1254,58;1,82;26,13
27/03/1999;1,00;0,66;1,07;1,57;1,63;1,81;1,61;127,05;1257,17;1,83;26,26
28/03/1999;1,00;0,66;1,06;1,56;1,61;1,80;1,61;126,16;1246,97;1,79;25,92
29/03/1999;1,00;0,66;1,06;1,55;1,61;1,80;1,61;126,90;1258,45;1,77;26,11
30/03/1999;1,00;0,66;1,06;1,54;1,60;1,80;1,61;126,93;1260,36;1,76;26,20
31/03/1999;1,00;0,66;1,06;1,53;1,60;1,80;1,61;128,04;1264,19;1,78;26,14
01/04/1999;1,00;0,66;1,07;1,55;1,62;1,81;1,60;128,78;1276,93;1,80;25,99
02/04/1999;1,00;0,66;1,08;1,56;1,61;1,84;1,61;130,60;1298,46;1,82;26,01
03/04/1999;1,00;0,66;1,08;1,57;1,61;1,83;1,61;130,13;1296,90;1,82;26,17
04/04/1999;1,00;0,66;1,07;1,57;1,60;1,82;1,61;129,82;1289,16;1,79;26,05
05/04/1999;1,00;0,66;1,07;1,56;1,60;1,82;1,61;129,97;1286,89;1,78;26,14
06/04/1999;1,00;0,66;1,06;1,55;1,60;1,81;1,61;128,88;1283,20;1,77;26,77
07/04/1999;1,00;0,66;1,06;1,55;1,59;1,81;1,60;129,20;1281,02;1,76;27,31
08/04/1999;1,00;0,66;1,07;1,56;1,61;1,83;1,60;130,78;1289,01;1,77;27,09
09/04/1999;1,00;0,66;1,07;1,57;1,61;1,83;1,60;131,47;1289,65;1,78;26,42
10/04/1999;1,00;0,66;1,07;1,56;1,59;1,83;1,60;131,62;1283,34;1,79;26,47
11/04/1999;1,00;0,66;1,06;1,56;1,61;1,83;1,60;132,40;1275,34;1,78;26,36
12/04/1999;1,00;0,66;1,06;1,56;1,61;1,83;1,60;132,16;1275,34;1,79;26,50
13/04/1999;1,00;0,66;1,06;1,54;1,59;1,82;1,60;131,25;1261,38;1,79;26,23
14/04/1999;1,00;0,66;1,06;1,55;1,61;1,82;1,60;130,86;1258,88;1,81;26,16
15/04/1999;1,00;0,66;1,06;1,55;1,61;1,83;1,60;130,41;1260,83;1,83;26,04
16/04/1999;1,00;0,66;1,05;1,54;1,62;1,82;1,59;128,77;1254,72;1,83;25,84
17/04/1999;1,00;0,66;1,05;1,54;1,61;1,81;1,59;128,05;1244,78;1,79;25,78
18/04/1999;1,00;0,65;1,05;1,55;1,60;1,81;1,59;126,70;1242,42;1,81;25,91
19/04/1999;1,00;0,65;1,05;1,54;1,61;1,81;1,59;127,18;1240,33;1,80;25,86
20/04/1999;1,00;0,65;1,04;1,54;1,62;1,80;1,59;126,35;1238,67;1,80;25,75
21/04/1999;1,00;0,64;1,04;1,54;1,61;1,79;1,59;125,71;1231,11;1,82;25,49
22/04/1999;1,00;0,65;1,04;1,53;1,61;1,79;1,59;125,80;1229,95;42,08;25,49
23/04/1999;1,00;0,64;1,03;1,52;1,58;1,78;1,59;125,45;1221,16;1,80;25,39
24/04/1999;1,00;0,64;1,03;1,51;1,56;1,78;1,59;124,70;1221,31;1,80;25,38
25/04/1999;1,00;0,65;1,04;1,52;1,57;1,78;1,59;125,99;1223,47;1,82;25,41
26/04/1999;1,00;0,65;1,05;1,54;1,58;1,79;1,59;124,48;1220,22;1,83;25,51
27/04/1999;1,00;0,65;1,05;1,54;1,58;1,80;1,59;124,50;1222,50;9,23;25,53
28/04/1999;1,00;0,65;1,05;1,53;1,58;1,79;1,60;124,09;1222,62;1,85;25,59
29/04/1999;1,00;0,65;1,04;1,52;1,58;1,79;1,60;125,42;1221,01;1,86;25,50
30/04/1999;1,00;0,65;1,04;1,52;1,57;1,78;1,59;125,27;1211,31;1,86;25,46
01/05/1999;1,00;0,65;1,03;1,51;1,58;1,76;1,59;124,40;1204,21;1,84;25,36
02/05/1999;1,00;0,65;1,03;1,50;1,57;1,76;1,60;123,97;1206,26;1,83;25,29
03/05/1999;1,00;0,65;1,04;1,52;1,59;1,77;1,60;124,52;1208,06;1,82;25,32
04/05/1999;1,00;0,65;1,03;1,51;1,58;1,77;1,60;126,30;1205,71;1,82;25,18
05/05/1999;1,00;0,65;1,03;1,52;1,58;1,75;1,60;125,60;1195,57;1,82;25,21
06/05/1999;1,00;0,65;1,03;1,51;1,57;1,75;1,60;125,55;1197,38;1,82;25,04
07/05/1999;1,00;0,65;1,03;1,52;1,57;1,76;1,60;126,05;1195,35;1,85;25,12
08/05/1999;1,00;0,66;1,04;1,54;1,57;1,78;1,60;126,80;1206,17;1,87;25,50
09/05/1999;1,00;0,66;1,04;1,52;1,58;1,77;1,60;125,96;1201,20;1,86;25,36
10/05/1999;1,00;0,65;1,04;1,53;1,58;1,77;1,60;125,30;1199,03;1,84;25,11
11/05/1999;1,00;0,66;1,03;1,53;1,56;1,76;1,60;124,82;1195,47;1,83;25,06
12/05/1999;1,00;0,65;1,03;1,50;1,53;1,74;1,60;124,12;1195,07;1,80;24,90
13/05/1999;1,00;0,65;1,02;1,51;1,53;1,74;1,61;123,93;1193,07;1,81;25,06
14/05/1999;1,00;0,65;1,02;1,50;1,54;1,74;1,61;125,18;1190,73;1,80;25,03
15/05/1999;1,00;0,65;1,02;1,50;1,53;1,74;1,60;124,87;1193,77;1,81;25,02
16/05/1999;1,00;0,66;1,02;1,50;1,54;1,73;1,60;124,77;1198,08;1,82;25,04
17/05/1999;1,00;0,65;1,02;1,50;1,53;1,73;1,60;124,72;1201,87;1,81;24,93
18/05/1999;1,00;0,66;1,02;1,50;1,53;1,73;1,61;124,66;1210,80;1,84;24,92
19/05/1999;1,00;0,65;1,01;1,50;1,53;1,72;1,61;123,82;1198,30;1,82;24,72
20/05/1999;1,00;0,65;1,02;1,51;1,54;1,73;1,60;123,83;1196,90;1,87;24,83
21/05/1999;1,00;0,65;1,02;1,51;1,54;1,73;1,60;122,97;1196,90;1,86;24,83
22/05/1999;1,00;0,65;1,02;1,51;1,54;1,73;1,61;123,04;1206,72;1,86;24,83
23/05/1999;1,00;0,65;1,02;1,51;1,55;1,74;1,61;123,15;1207,94;1,85;24,85
24/05/1999;1,00;0,65;1,01;1,51;1,54;1,73;1,61;121,60;1204,78;1,82;24,66
25/05/1999;1,00;0,66;1,04;1,55;1,60;1,77;1,60;123,09;1241,15;1,86;25,32
26/05/1999;1,00;0,67;1,05;1,57;1,62;1,78;1,61;124,20;1257,72;1,90;25,42
27/05/1999;1,00;0,66;1,05;1,58;1,62;1,79;1,61;124,06;1268,93;1,90;25,48
28/05/1999;1,00;0,66;1,05;1,58;1,62;1,78;1,61;121,96;1268,40;1,91;25,53
29/05/1999;1,00;0,67;1,07;1,62;1,65;1,80;1,61;123,80;1293,70;1,95;25,93
30/05/1999;1,00;0,67;1,06;1,60;1,65;1,79;1,60;124,27;1279,08;1,94;25,91
31/05/1999;1,00;0,67;1,06;1,60;1,65;1,78;1,60;123,15;1270,39;1,92;25,71
01/06/1999;1,00;0,67;1,07;1,61;1,65;1,80;1,60;123,18;1285,81;1,92;26,00
02/06/1999;1,00;0,66;1,07;1,61;1,64;1,80;1,60;123,19;1287,21;1,92;25,93
03/06/1999;1,00;0,66;1,07;1,61;1,64;1,79;1,60;121,88;1279,38;1,92;25,81
04/06/1999;1,00;0,66;1,06;1,59;1,63;1,79;1,60;122,69;1275,64;1,94;25,87
05/06/1999;1,00;0,66;1,08;1,61;1,63;1,81;1,60;123,39;1291,80;1,96;26,35
06/06/1999;1,00;0,67;1,08;1,61;1,64;1,81;1,60;123,37;1296,48;1,98;26,41
07/06/1999;1,00;0,67;1,07;1,61;1,65;1,79;1,60;123,13;1289,52;1,98;26,66
08/06/1999;1,00;0,67;1,07;1,61;1,64;1,78;1,60;123,37;1282,94;1,97;26,79
09/06/1999;1,00;0,67;1,07;1,61;1,65;1,79;1,60;123,25;1288,08;2,00;27,01
10/06/1999;1,00;0,66;1,07;1,59;1,65;1,78;1,60;122,92;1281,82;1,99;26,56
11/06/1999;1,00;0,66;1,06;1,58;1,64;1,78;1,60;123,25;1282,06;1,97;26,47
12/06/1999;1,00;0,66;1,07;1,58;1,64;1,79;1,60;122,41;1287,91;1,99;26,62
13/06/1999;1,00;0,66;1,06;1,56;1,62;1,76;1,60;121,28;1269,29;1,98;26,22
14/06/1999;1,00;0,66;1,05;1,56;1,62;1,77;1,60;120,34;1268,91;1,98;26,04
15/06/1999;1,00;0,66;1,05;1,56;1,64;1,76;1,60;118,90;1265,21;1,98;25,87
16/06/1999;1,00;0,66;1,05;1,56;1,66;1,76;1,60;117,02;1261,05;2,00;26,03
17/06/1999;1,00;0,66;1,07;1,60;1,68;1,76;1,60;119,16;1261,05;2,07;26,03
18/06/1999;1,00;0,66;1,06;1,59;1,66;1,78;1,60;118,03;1270,01;2,00;26,32
19/06/1999;1,00;0,66;1,05;1,57;1,65;1,78;1,60;117,42;1260,23;1,97;26,07
20/06/1999;1,00;0,66;1,04;1,56;1,65;1,76;1,60;115,70;1243,03;2,00;25,91
21/06/1999;1,00;0,66;1,05;1,57;1,65;1,77;1,60;116,38;1243,60;1,99;25,94
22/06/1999;1,00;0,66;1,05;1,56;1,65;1,76;1,60;116,68;1235,83;2,00;25,93
23/06/1999;1,00;0,66;1,05;1,55;1,65;1,76;1,60;116,10;1237,85;2,03;25,96
24/06/1999;1,00;0,66;1,06;1,58;1,66;1,78;1,60;115,53;1247,50;2,04;26,55
25/06/1999;1,00;0,66;1,06;1,59;1,66;1,79;1,60;116,00;1257,20;2,04;27,19
26/06/1999;1,00;0,66;1,07;1,59;1,66;1,80;1,60;116,16;1268,84;2,06;27,49
27/06/1999;1,00;0,66;1,07;1,60;1,66;1,80;1,60;117,32;1272,17;2,05;27,73
28/06/1999;1,00;0,66;1,06;1,58;1,64;1,79;1,60;116,30;1263,04;2,03;27,38
29/06/1999;1,00;0,66;1,06;1,57;1,64;1,79;1,60;117,44;1261,17;2,02;27,27
30/06/1999;1,00;0,65;1,06;1,58;1,64;1,80;1,60;117,49;1267,90;2,03;27,34
01/07/1999;1,00;0,65;1,06;1,57;1,63;1,79;1,60;115,36;1260,86;2,00;27,29
02/07/1999;1,00;0,65;1,05;1,56;1,61;1,78;1,60;115,00;1254,57;1,97;27,59
03/07/1999;1,00;0,64;1,03;1,52;1,58;1,74;1,61;109,85;1231,40;1,94;26,66
04/07/1999;1,00;0,65;1,04;1,52;1,58;1,75;1,60;110,25;1236,44;1,96;26,42
05/07/1999;1,00;0,65;1,04;1,53;1,60;1,75;1,60;107,94;1236,07;1,95;26,39
06/07/1999;1,00;0,64;1,04;1,53;1,60;1,76;1,60;108,08;1243,21;1,95;26,30
07/07/1999;1,00;0,64;1,04;1,53;1,60;1,76;1,60;110,66;1250,34;1,96;26,59
08/07/1999;1,00;0,64;1,04;1,54;1,62;1,77;1,60;112,08;1249,12;1,95;26,47
09/07/1999;1,00;0,64;1,04;1,53;1,61;1,76;1,60;108,72;1249,10;1,95;26,34
10/07/1999;1,00;0,64;1,05;1,54;1,61;1,79;1,60;109,48;1269,02;1,98;26,68
11/07/1999;1,00;0,64;1,04;1,53;1,61;1,79;1,60;108,45;1260,37;1,97;26,35
12/07/1999;1,00;0,64;1,05;1,54;1,61;1,79;1,60;109,40;1269,61;2,00;26,64
13/07/1999;1,00;0,63;1,04;1,53;1,59;1,77;1,60;109,67;1260,86;1,99;26,32
14/07/1999;1,00;0,64;1,05;1,53;1,61;1,80;1,60;111,31;1276,67;2,02;26,42
15/07/1999;1,00;0,64;1,06;1,54;1,61;1,81;1,60;112,85;1285,93;2,04;26,61
16/07/1999;1,00;0,65;1,07;1,57;1,64;1,81;1,60;112,67;1297,46;2,05;26,81
17/07/1999;1,00;0,65;1,07;1,57;1,63;1,82;1,60;113,25;1303,87;2,08;27,39
18/07/1999;1,00;0,65;1,07;1,58;1,63;1,82;1,59;113,60;1303,87;2,07;27,39
19/07/1999;1,00;0,65;1,07;1,57;1,61;1,79;1,59;113,98;1289,39;48,40;27,60
20/07/1999;1,00;0,65;1,07;1,58;1,62;1,80;1,59;115,58;1292,38;2,10;27,67
21/07/1999;1,00;0,65;1,07;1,58;1,62;1,80;1,59;115,48;1288,97;2,08;27,62
22/07/1999;1,00;0,65;1,07;1,57;1,62;1,79;1,60;114,55;1282,33;2,07;27,48
23/07/1999;1,00;0,64;1,06;1,57;1,63;1,78;1,59;113,42;1279,49;2,08;27,43
24/07/1999;1,00;0,65;1,07;1,57;1,63;1,78;1,59;113,45;1280,70;2,08;27,45
25/07/1999;1,00;0,65;1,08;1,59;1,64;1,82;1,59;116,24;1298,93;2,11;27,68
26/07/1999;1,00;0,65;1,08;1,59;1,65;1,81;1,59;114,95;1299,99;2,11;27,76
27/07/1999;1,00;0,65;1,09;1,61;1,68;1,82;1,59;115,15;1309,90;2,15;28,15
28/07/1999;1,00;0,65;1,09;1,62;1,69;1,82;1,59;114,23;1307,72;2,15;28,11
29/07/1999;1,00;0,65;1,08;1,62;1,67;1,81;1,59;114,30;1303,57;2,16;27,96
30/07/1999;1,00;0,65;1,08;1,60;1,66;1,81;1,59;114,44;1297,73;2,16;27,82
31/07/1999;1,00;0,64;1,08;1,61;1,66;1,80;1,59;114,52;1300,80;2,16;27,91
01/08/1999;1,00;0,64;1,08;1,59;1,65;1,79;1,60;113,65;1296,79;2,13;27,70
02/08/1999;1,00;0,64;1,07;1,58;1,64;1,77;1,60;112,66;1287,25;2,11;27,46
03/08/1999;1,00;0,64;1,06;1,56;1,63;1,77;1,60;111,33;1279,99;2,11;27,36
04/08/1999;1,00;0,64;1,06;1,55;1,63;1,76;1,60;109,75;1267,62;2,10;27,50
05/08/1999;1,00;0,64;1,05;1,55;1,64;1,76;1,60;109,79;1263,20;2,09;27,67
06/08/1999;1,00;0,64;1,05;1,54;1,64;1,74;1,60;109,59;1254,44;2,04;27,34
07/08/1999;1,00;0,64;1,06;1,55;1,66;1,75;1,60;110,23;1262,70;41,21;27,72
08/08/1999;1,00;0,64;1,05;1,54;1,64;1,75;1,61;110,12;1254,86;2,04;27,85
09/08/1999;1,00;0,64;1,05;1,54;1,63;1,75;1,61;109,17;1249,48;2,04;27,58
10/08/1999;1,00;0,64;1,05;1,54;1,65;1,75;1,61;110,00;1243,62;2,03;27,60
11/08/1999;1,00;0,64;1,04;1,52;1,64;1,74;1,61;109,79;1234,15;2,00;27,47
12/08/1999;1,00;0,64;1,04;1,53;1,63;1,74;1,61;110,36;1231,63;2,00;27,35
13/08/1999;1,00;0,64;1,04;1,53;1,64;1,74;1,61;109,37;1235,78;2,01;27,27
14/08/1999;1,00;0,64;1,04;1,53;1,62;1,74;1,61;109,33;1227,10;2,01;27,22
15/08/1999;1,00;0,64;1,04;1,53;1,62;1,74;1,61;109,30;1221,27;2,01;27,27
16/08/1999;1,00;0,64;1,03;1,51;1,60;1,72;1,61;108,22;1205,92;2,00;27,14
17/08/1999;1,00;0,64;1,03;1,51;1,60;1,72;1,61;107,99;1216,61;1,99;27,06
18/08/1999;1,00;0,64;1,03;1,52;1,61;1,73;1,60;109,42;1218,00;2,00;27,21
19/08/1999;1,00;0,64;1,04;1,52;1,62;1,74;1,60;109,58;1224,51;2,01;27,50
20/08/1999;1,00;0,64;1,04;1,52;1,62;1,73;1,60;109,63;1217,02;2,00;27,42
21/08/1999;1,00;0,64;1,03;1,51;1,61;1,72;1,60;109,10;1210,33;1,98;27,25
22/08/1999;1,00;0,64;1,03;1,51;1,62;1,72;1,60;108,35;1209,09;1,99;27,30
23/08/1999;1,00;0,63;1,03;1,51;1,62;1,72;1,60;107,98;1206,17;1,99;27,28
24/08/1999;1,00;0,63;1,02;1,50;1,61;1,70;1,60;106,62;1187,16;1,97;27,03
25/08/1999;1,00;0,63;1,02;1,50;1,61;1,70;1,60;106,25;1180,64;1,97;27,14
26/08/1999;1,00;0,63;1,01;1,48;1,59;1,69;1,60;104,86;1171,46;1,95;26,78
27/08/1999;1,00;0,63;1,01;1,48;1,58;1,70;1,60;102,82;1170,92;1,94;26,75
28/08/1999;1,00;0,63;1,01;1,49;1,59;1,70;1,60;103,00;1171,31;1,94;26,98
29/08/1999;1,00;0,63;1,01;1,49;1,58;1,70;1,60;103,35;1169,58;42,56;27,01
30/08/1999;1,00;0,63;1,01;1,49;1,58;1,70;1,60;103,03;1157,72;1,91;26,90
31/08/1999;1,00;0,63;1,00;1,48;1,59;1,69;1,60;102,57;1153,11;1,88;26,91
01/09/1999;1,00;0,63;1,02;1,51;1,61;1,71;1,60;104,62;1169,65;1,90;27,33
02/09/1999;1,00;0,63;1,02;1,51;1,61;1,72;1,60;105,05;1166,22;1,91;27,55
03/09/1999;1,00;0,63;1,02;1,51;1,61;1,72;1,60;105,32;1151,43;44,88;27,59
04/09/1999;1,00;0,63;1,02;1,50;1,59;1,71;1,60;104,40;1148,48;1,90;27,31
05/09/1999;1,00;0,62;1,01;1,50;1,60;1,70;1,60;103,81;1148,91;1,89;27,33
06/09/1999;1,00;0,62;1,01;1,50;1,59;1,70;1,60;103,95;1141,99;1,88;27,27
07/09/1999;1,00;0,62;1,00;1,49;1,58;1,69;1,60;104,06;1137,53;1,85;27,01
08/09/1999;1,00;0,62;1,00;1,49;1,58;1,68;1,60;103,70;1136,66;1,85;26,92
09/09/1999;1,00;0,63;1,01;1,50;1,59;1,70;1,60;104,47;1147,24;1,87;27,19
10/09/1999;1,00;0,63;1,01;1,50;1,57;1,71;1,60;104,68;1150,58;1,84;27,28
11/09/1999;1,00;0,63;1,01;1,49;1,57;1,69;1,60;103,84;1144,48;1,82;26,96
12/09/1999;1,00;0,63;1,01;1,49;1,57;1,68;1,60;103,07;1145,25;1,84;27,04
13/09/1999;1,00;0,63;1,01;1,49;1,56;1,68;1,60;102,48;1139,65;1,83;26,97
14/09/1999;1,00;0,63;1,01;1,49;1,57;1,69;1,60;102,52;1141,13;1,84;26,93
15/09/1999;1,00;0,63;1,01;1,49;1,58;1,69;1,60;104,29;1147,78;17,87;27,27
16/09/1999;1,00;0,63;1,01;1,49;1,57;1,69;1,60;103,75;1148,23;1,85;27,41
17/09/1999;1,00;0,62;1,01;1,47;1,57;1,69;1,61;103,13;1156,18;1,85;27,72
18/09/1999;1,00;0,62;1,01;1,46;1,55;1,68;1,61;103,02;1151,31;1,84;27,72
19/09/1999;1,00;0,62;1,00;1,46;1,54;1,67;1,61;102,73;1137,28;1,80;27,67
20/09/1999;1,00;0,96;2,58;1,78;1,65;2,69;1,67;126,77;1823,79;15,60;88,40
21/09/1999;1,00;0,62;1,01;1,46;1,53;1,68;1,60;102,75;1140,02;1,82;27,75
22/09/1999;1,00;0,63;1,03;1,49;1,57;1,70;1,61;105,88;1157,32;1,89;28,36
23/09/1999;1,00;0,63;1,04;1,51;1,58;1,72;1,61;107,34;1176,08;1,92;28,30
24/09/1999;1,00;0,63;1,04;1,51;1,58;1,73;1,61;108,72;1191,90;1,92;28,51
25/09/1999;1,00;0,63;1,03;1,50;1,57;1,71;1,61;108,09;1169,52;1,88;28,25
26/09/1999;1,00;0,62;1,02;1,49;1,56;1,70;1,61;107,26;1157,84;1,86;28,76
27/09/1999;1,00;0,63;1,03;1,50;1,57;1,71;1,61;108,85;1175,51;1,87;29,44
